ID stanice;mesic detekce;druhy z roku detekce;hodnota rozdilu teplot
441;8;2015;5.96452
50;2;1991;7.58214
50;2;1992;6.36404
50;2;1996;7.94323
50;4;1998;4.68
50;5;1992;4.52258
50;6;1992;2.61333
50;7;1994;3.83226
50;7;1996;4.0871
50;8;1992;4.12258
50;8;1993;3.9871
50;10;1995;3.66452
50;10;1997;3.43226
50;11;1988;4.7
50;11;1994;4.18667
50;11;1995;4.48667
50;11;1996;4.29667
50;12;1997;5.72903
51;2;1966;8.69643
51;3;2014;6.80968
51;4;2018;6.4
51;5;2019;5.73548
51;8;2015;5.54839
51;11;1994;5.31667
51;11;1995;4.92333
52;1;1983;8.16774
52;2;1966;9.075
52;3;1962;6.76774
52;3;1977;6.1129
52;5;1971;4.33871
52;7;1967;3.36452
52;10;1966;5.94516
435;1;2007;8.08065
435;1;2018;7.20968
435;2;1996;7.45739
435;2;2003;7.325
435;3;2013;6.2
435;3;2014;8.07742
435;5;2019;6.07419
435;8;2015;6.22258
435;12;2011;6.91935
53;2;1966;8.59643
53;3;1962;5.88387
53;3;1977;5.62258
53;5;1970;3.79677
53;5;1971;3.23871
53;6;1979;3.34
53;10;1966;6.06129
54;1;1988;8.84839
54;2;1966;9.57857
54;3;2014;7.96129
54;4;2018;7.27667
54;8;2015;6.02581
445;1;1988;8.3
445;2;1966;7.77143
445;3;1977;6.47419
445;5;1991;5.29355
445;7;1984;5.92903
55;1;2007;9.72258
55;1;2018;7.76774
55;3;2007;5.14516
55;3;2013;5.16452
55;3;2014;6.82903
55;3;2018;5.20968
55;4;2018;6.00333
55;5;2019;5.51613
55;6;2004;4.01
55;8;2015;5.43871
55;9;2007;3.99333
55;9;2023;4.78333
55;10;2002;4.60968
55;11;2002;4.33667
55;11;2007;4.19333
55;11;2008;4.35333
55;11;2011;4.25333
55;12;2011;5.74839
391;1;2019;3.57742
391;2;2019;6.34286
391;3;2019;4.95484
391;5;2019;5.4871
391;6;2019;3.92333
391;6;2020;4.75667
391;7;2021;2.25161
391;9;2023;4.94
391;11;2020;3.19
391;12;2021;2.45806
57;1;2007;10.0194
57;3;1962;6.04839
57;3;2014;6.09032
57;4;2018;6.13667
57;5;2019;5.69355
57;10;1966;6.05161
385;1;2019;3.63226
385;2;2019;5.95
385;3;2019;4.96129
385;5;2019;5.13548
385;6;2019;3.82
385;6;2020;4.87
385;7;2021;2.22581
385;9;2023;4.53667
385;11;2019;2.43333
385;11;2020;2.71667
385;12;2021;2.46129
60;2;1966;8.94643
60;3;2014;7.44194
60;5;2019;5.96129
60;8;2015;5.73548
60;11;1994;5.11667
443;1;2007;10.2194
443;3;1962;6.22581
443;3;2014;6.7129
443;5;2019;5.65161
443;8;2015;5.32258
443;10;1966;6.18065
61;2;1966;9.60357
61;3;1962;6.31613
61;3;1977;6.5871
61;10;1966;6.19032
62;1;1983;8.45484
62;3;1962;6.1129
62;3;1977;5.73548
62;4;1983;4.18667
62;5;1992;4.45806
62;7;1984;5.06774
62;10;1966;5.77097
389;1;2019;3.56452
389;2;2019;6.32143
389;3;2019;5.04839
389;5;2019;5.3129
389;6;2019;3.99333
389;6;2020;5.07
389;7;2021;2.38387
389;9;2023;4.69333
389;11;2019;2.54667
389;11;2020;3.13667
389;12;2021;2.49677
64;1;2007;9.6129
64;3;2014;6.60968
64;4;2018;5.76
64;5;2019;5.86774
64;12;1997;5.86774
64;12;2011;5.8
65;1;2007;9.01935
65;1;2018;7.4871
65;2;1991;7.28929
65;2;1996;8.1532
65;2;2003;7.90714
65;3;2014;6.5129
65;7;1994;4.90968
65;7;1996;4.5129
65;8;2015;5.82258
65;10;2002;4.88387
66;1;2007;8.74516
66;2;1966;8.7
66;7;1984;5.02581
66;10;1966;5.6871
457;1;1988;8.94839
457;1;2007;8.96129
457;2;1966;9.3
457;7;1994;5.43871
457;8;2015;5.67419
67;1;2007;9.97419
67;2;1996;8.20739
67;7;1984;5.07097
67;10;1966;5.57097
68;1;2018;7.24194
68;3;2018;5.40645
68;3;2019;4.59677
68;4;2018;6.06
68;5;2019;5.77742
68;6;2020;4.17333
68;7;2021;1.88065
68;9;2023;5.07
68;11;2020;2.96667
451;2;1996;8.18214
451;2;1997;6.27143
451;8;1997;2.18065
451;10;1995;3.75484
451;11;1995;4.88667
451;11;1996;4.28333
451;12;1997;5.94194
69;1;1988;8.40968
69;2;1987;6.12143
69;3;1987;4.68387
69;4;1983;4.20333
69;5;1987;4.20323
69;5;1988;3.68065
69;6;1986;2.52333
69;7;1984;5.19677
69;8;1988;2.37097
69;10;1984;1.20645
69;10;1985;1.49355
69;11;1985;3.97333
69;11;1986;3.43
69;11;1988;3.90333
69;12;1982;3.62258
461;1;1988;8.70323
461;5;1987;4.53871
461;5;1992;4.47742
461;11;1994;6.19667
461;11;1995;4.68667
461;12;1997;6.37097
71;1;2007;8.67419
71;1;2018;8.30968
71;2;2003;9.07143
71;3;2013;4.09677
71;3;2014;4.09677
71;3;2019;4.11613
71;4;2018;4.88667
71;5;2019;5.01935
71;8;2015;4.40323
71;10;2022;3.7
72;3;1962;6.10645
72;5;1970;4.20968
72;10;1966;5.53226
471;1;2007;9.91935
471;2;1991;7.01071
471;2;1992;6.14409
471;2;1996;7.43818
471;2;1997;6.43103
471;2;2003;7.23571
471;5;1991;4.62581
471;5;1992;5.0871
471;7;1994;4.96129
471;7;1996;4.72903
471;11;1994;6.00667
471;11;1995;4.90333
73;1;2007;9.59032
73;1;2018;7.65806
73;2;1996;8.4569
73;2;2003;8.88214
73;5;2004;4.45484
73;5;2019;5.26774
73;7;1996;4.06452
73;8;2015;4.31935
73;11;1995;5.71
74;1;2007;9.55806
74;7;1984;4.1
74;7;1994;4.49677
74;7;1996;4.52903
74;11;1995;5.18333
74;12;2011;7.26129
465;1;2007;9.90968
465;3;1962;6.46452
465;3;2013;6.20645
465;3;2014;6.55161
465;5;2019;6.15806
465;8;2015;5.26452
465;10;1966;6.20323
465;11;1994;5.87667
75;2;1966;9.78571
75;4;2018;7.04
75;7;1984;5.4871
75;7;1994;5.83871
75;8;2015;6.18065
75;11;1985;5.80333
75;11;1986;5.94667
75;11;1994;5.88333
76;1;2007;9.18065
76;1;2018;7.89355
76;2;1996;8.23448
76;2;2003;8.86071
76;3;1997;7.01935
76;5;2019;5.03548
76;7;1996;4.17097
76;11;1993;5.76333
76;11;1994;7.45
76;11;1995;7.23
459;1;2007;9.82258
459;1;2018;8.07419
459;2;1991;7.85714
459;2;1996;8.183
459;2;2003;8.43929
459;3;2013;6.5129
459;3;2014;7.43548
459;7;1994;4.87419
459;8;2015;5.58387
459;11;1994;5.50667
459;11;1995;5.05333
78;1;1983;9.52581
78;1;1988;8.27742
78;4;1983;3.78
78;5;1987;3.87097
78;6;1979;2.96667
78;7;1984;3.99677
78;8;1976;3.00323
78;9;1976;3.21667
78;9;1987;4.14333
469;1;1966;4.33548
469;2;1966;7.93214
469;3;1969;3.5
469;4;1971;3.59667
469;5;1969;3.10323
469;5;1970;3.27742
469;5;1971;3.41935
469;6;1971;3.03667
469;7;1967;2.4871
469;7;1968;2.42258
79;1;1983;8.92258
79;1;2007;10.0903
79;5;2019;4.76774
79;11;1994;7.07667
479;1;1966;4.98387
479;2;1966;4.73214
479;5;1965;2.70968
479;6;1965;2.79333
479;7;1965;3.05161
479;10;1966;5.40645
479;11;1965;4.71667
82;1;1988;8.55161
82;1;2007;9.12258
82;3;2014;7.17419
82;8;2015;6.19355
82;11;1994;6.06
82;11;1995;5.41333
82;12;2011;7.32258
473;1;1971;10.1037
473;2;1978;3.92857
473;4;1971;4.29667
473;5;1969;3.53321
473;7;1975;2.66774
473;11;1969;4.35667
83;1;2018;7.08065
83;3;2013;6.24839
83;3;2014;6.43226
83;3;2018;5.24839
83;4;2018;6.05333
83;5;2019;4.64839
83;5;2022;3.60645
83;6;2020;4.23
83;8;2015;5.07097
83;9;2017;3.58667
83;9;2023;4.25
83;10;2022;3.90968
83;11;2016;3.65667
83;12;2016;4.62258
84;1;2007;8.57742
84;2;1966;8.98571
84;11;1994;7.17
84;11;1995;5.96333
85;1;1983;8.51935
85;2;1991;9.17143
85;2;1996;9.00111
85;5;1992;5.62903
85;10;1995;3.82903
85;11;1994;8.01333
86;1;2007;5.68387
86;3;2007;4.74516
86;4;2007;4.11333
86;4;2008;4.10333
86;4;2009;5.03
86;4;2010;3.86667
86;5;2010;2.07742
86;5;2011;2.59032
86;6;2009;2.21
86;7;2011;4.17419
86;9;2007;4.29667
86;9;2009;3.33333
86;9;2010;3.52333
86;9;2011;3.60667
86;10;2007;4.67742
86;11;2007;4.65333
86;12;2006;5.8129
477;1;2007;10.8097
477;5;1992;5.19032
477;7;1984;4.74194
477;7;1994;4.74194
477;11;1994;6.10333
477;11;1995;4.87667
477;12;2011;8.89355
87;1;1988;7.85806
87;4;1983;4.28667
87;4;1984;3.64
87;5;1987;4.70323
87;5;1991;4.17097
87;5;1992;4.47419
87;6;1979;3.67333
87;7;1984;4.39355
87;11;1993;5.69
88;5;1992;4.80968
88;7;1994;4.48387
89;1;1983;8.09032
89;1;1988;8.35161
89;5;1987;4.42581
89;5;1988;4.54516
89;6;1979;3.50333
89;7;1984;4.96452
89;9;1987;5.21333
89;9;1988;3.99667
90;1;1983;9.08387
90;1;1988;9.12581
90;1;2007;9.41613
90;2;2003;9.17143
90;7;1984;5.44839
90;11;1994;6.20333
90;11;1995;5.62333
91;1;2018;7.8129
91;3;2018;5.36774
91;3;2019;4.77742
91;4;2018;6.07333
91;5;2019;5.2129
91;5;2022;4.44516
91;6;2020;4.46333
91;7;2016;2.4
91;8;2016;4.45806
91;9;2017;4.09333
91;9;2023;4.85
91;10;2022;3.07419
91;11;2016;3.88667
91;12;2016;4.55484
475;3;1962;6.65806
475;5;1969;2.85484
475;5;1970;3.2871
475;8;1976;3.47604
475;9;1976;3.7354
475;10;1966;6.44839
93;1;1983;9.49677
93;1;1988;10.7226
93;4;1983;4.25333
93;5;1987;7.26452
93;6;1986;5.32
93;7;1984;5.28065
93;8;1993;5.44194
93;10;1966;5.00645
94;1;2007;10.3548
94;5;1992;5.31935
94;8;2015;5.73548
94;10;1966;5.5871
94;11;1994;6.08667
94;11;1995;5.29667
95;1;1963;7.41613
95;3;1962;6.63871
95;3;1997;5.73548
95;5;1991;3.72903
95;5;1992;4.25161
95;7;1993;3.21613
95;7;1994;3.64194
95;7;1996;3.14516
95;10;1995;4.19032
95;11;1994;6.76667
96;1;2007;8.57419
96;1;2018;7.72258
96;2;1991;7.86429
96;2;1996;7.85012
96;2;2003;7.37857
96;3;2013;7.09677
96;3;2014;7.7
96;4;2018;6.49
96;7;1994;5.30323
96;7;1996;4.96774
96;8;2015;6.02581
96;11;1994;6.11
96;11;1995;5.38333
96;12;2011;6.9871
495;1;1988;9.07419
495;3;2014;7.31613
495;7;1994;6.43226
495;8;2015;5.38065
97;1;1988;7.72258
97;1;2007;9.35484
97;1;2018;8.28065
97;2;1991;8.49286
97;2;1996;8.26342
97;2;2003;8.93571
97;6;2004;5.19333
97;7;1994;4.56452
97;7;1996;4.2129
97;11;1994;6.84667
98;1;2007;9.65161
98;1;2018;8.57419
98;2;2003;9.26429
98;3;2013;6.50968
98;3;2014;6.31613
98;4;2018;5.61333
98;5;2019;5.05484
98;8;2015;6.06774
98;9;2007;3.99
98;9;2011;3.56333
98;9;2017;3.61
98;9;2023;3.68
98;12;2011;8.09677
489;1;1988;9.12903
489;2;1991;8.18571
489;3;2013;7.61613
489;3;2014;8.95161
489;4;2018;6.24
489;8;2015;6.11936
489;11;1994;5.98
489;11;1995;5.29667
489;12;2011;8.06129
99;3;1962;5.68065
99;3;1977;5.30323
99;5;1970;3.83548
99;5;1971;2.95161
99;9;1976;3.76667
99;11;1965;4.52333
100;2;2020;4.04335
100;2;2021;3.13264
100;3;2023;3.07419
100;4;2021;2.79
100;5;2022;3.60323
100;6;2020;3.59
100;8;2021;2.03226
100;8;2022;2.10323
100;9;2023;2.68333
100;10;2022;3.84839
100;12;2023;1.84194
101;1;2007;9.66452
101;5;1992;5.3871
101;7;1984;4.82581
101;7;1994;4.65484
101;8;2015;5.82581
101;9;1999;4.47333
101;10;1966;5.01613
101;11;1994;6.05667
101;11;1995;5.14
102;2;1966;8.875
102;3;1962;7.10968
102;3;1977;6.12581
102;5;1970;4.12903
102;6;1979;3.55667
102;7;1965;3.72581
493;1;1983;9.01935
493;3;1962;6.7
493;5;1988;4.13548
493;5;1991;4.31613
493;5;1992;4.71613
493;6;1979;3.60333
493;7;1984;4.76452
493;9;1973;3.94667
493;9;1976;3.98333
493;10;1966;5.42903
103;5;1987;4.5129
103;5;1992;5.27097
103;6;1979;3.41667
103;7;1984;4.4129
104;1;2007;9.86129
104;5;2019;5.5129
104;7;1994;4.79677
104;8;2015;5.35161
104;10;1966;5.75161
104;11;1994;5.96667
105;1;2007;9.98065
105;5;2019;5.41935
105;7;1994;4.58387
105;8;2015;5.33548
105;11;1994;6.60333
105;11;1995;6.01333
105;12;2011;6.99032
106;1;2007;9.90645
106;8;2015;5.81613
106;11;1994;6.26
106;11;1995;5.47
497;1;1988;9.90645
497;2;1991;8.01786
497;3;2013;6.23548
497;3;2014;7.22903
497;5;2019;5.63548
497;8;2015;5.2871
497;8;2016;4.76452
497;11;1994;5.56333
497;12;2011;7.65484
107;2;1966;9.47857
107;4;2018;6.24333
107;5;2019;5.79677
107;7;1994;5.06129
107;7;1996;4.94839
107;8;2015;5.86452
107;11;1994;5.94667
107;11;1995;5.90667
109;1;2007;9.78387
